id,cod,start,yearstart,fin,yearfin,dur_months,stage,words,early_agree,ctte
1,1985/0046(COD),19/12/1985,1985,04/04/2001,2001,184,2,10824,0,8
2,1986/0080(COD),23/12/1986,1986,19/03/2001,2001,171,2,,0,8
3,1992/0449(COD),23/12/1992,1992,25/06/2002,2002,114,3,12964,0,9
4,1992/0449A(COD),23/12/1992,1992,06/02/2003,2003,121,3,12964,0,9
5,1992/0449B(COD),23/12/1992,1992,05/04/2006,2006,159,3,12964,0,9
6,1992/0449C(COD),23/12/1992,1992,29/04/2004,2004,136,2,12964,0,9
7,1993/0465(COD),27/07/1993,1993,16/02/1998,1998,55,3,11201,0,10
8,1994/0009(COD),19/01/1994,1994,05/06/1996,1996,29,3,1460,0,11
9,1994/0011(COD),31/01/1994,1994,20/03/2000,2000,74,2,7790,0,18
10,1994/0098(COD),07/04/1994,1994,23/07/1996,1996,27,3,13414,0,13
11,1995/0013B(COD),19/04/1995,1995,16/11/2000,2000,67,2,6618,0,11
12,1995/0232(COD),14/09/1995,1995,27/02/2003,2003,89,2,1586,0,13
13,1995/0235(COD),18/09/1995,1995,16/12/1999,1999,51,3,3006,0,9
14,1996/0085(COD),13/03/1996,1996,27/09/2001,2001,66,3,2349,0,24
15,1996/0112(COD),17/04/1996,1996,23/06/2000,2000,50,2,1661,0,10
16,1996/0130(COD),13/05/1996,1996,13/12/1999,1999,43,2,294,0,17
17,1996/0131(COD),13/05/1996,1996,13/12/1999,1999,43,2,301,0,17
18,1996/0304(COD),04/12/1996,1996,27/06/2001,2001,54,3,2504,0,10
19,1996/0312(COD),11/12/1996,1996,17/07/2000,2000,43,2,3344,0,10
20,1997/0067(COD),26/02/1997,1997,23/10/2000,2000,44,3,8631,0,10
21,1997/0162(COD),06/06/1997,1997,10/07/2000,2000,37,2,694,0,24
22,1997/0176(COD),17/10/1997,1997,10/11/2001,2001,49,3,1662,0,18
23,1997/0194(COD),09/07/1997,1997,18/09/2000,2000,38,3,3278,0,10
24,1997/0197(COD),03/09/1997,1997,04/04/2001,2001,43,2,3861,0,10
25,1997/0264(COD),10/10/1997,1997,16/05/2000,2000,31,3,3166,0,24
26,1997/0335(COD),08/12/1997,1997,12/12/2006,2006,108,2,2095,0,13
27,1997/0345(COD),02/12/1997,1997,14/05/2001,2001,41,3,3991,0,24
28,1997/0348(COD),10/12/1997,1997,27/06/2001,2001,42,3,1353,0,10
29,1997/0350(COD),03/12/1997,1997,13/12/1999,1999,24,2,2429,0,10
30,1997/0357(COD),15/12/1997,1997,20/03/2000,2000,27,1,,0,24
31,1997/0358(COD),10/12/1997,1997,22/05/2001,2001,41,3,1101,0,13
32,1997/0359(COD),10/12/1997,1997,22/05/2001,2001,41,2,5144,0,24
33,1997/0370(COD),18/11/1997,1997,28/02/2000,2000,27,3,10607,0,11
34,1997/0371(COD),18/11/1997,1997,28/02/2000,2000,27,3,10607,0,11
35,1998/0029(COD),18/02/1998,1998,08/05/2000,2000,27,2,4731,0,10
36,1998/0052(COD),18/02/1998,1998,10/04/2000,2000,26,2,471,0,10
37,1998/0071(COD),23/04/1998,1998,20/03/2000,2000,23,2,1212,0,24
38,1998/0072(COD),23/02/1998,1998,12/03/2001,2001,37,3,6056,0,10
39,1998/0089(COD),02/04/1998,1998,28/02/2000,2000,22,2,1252,0,24
40,1998/0097(COD),11/03/1998,1998,06/06/2000,2000,27,2,1684,0,13
41,1998/0099(COD),25/03/1998,1998,29/06/2000,2000,27,3,2459,0,11
42,1998/0101(COD),18/03/1998,1998,19/07/1999,1999,16,2,2242,0,6
43,1998/0106(COD),19/03/1998,1998,17/04/2000,2000,25,2,1757,0,13
44,1998/0134(COD),03/06/1998,1998,16/11/2000,2000,29,2,2525,0,18
45,1998/0163(COD),20/05/1998,1998,20/03/2000,2000,22,2,1059,0,18
46,1998/0169(COD),06/05/1998,1998,14/02/2000,2000,21,3,1868,0,17
47,1998/0191(COD),13/05/1998,1998,13/12/1999,1999,19,2,3254,0,18
48,1998/0192(COD),20/05/1998,1998,24/01/2000,2000,20,2,1434,0,21
49,1998/0195(COD),27/05/1998,1998,24/01/2000,2000,20,3,3230,0,17
50,1998/0197(COD),28/08/1998,1998,13/04/2000,2000,20,3,3258,0,17
51,1998/0202(COD),12/06/1998,1998,22/06/2000,2000,24,3,1707,0,10
52,1998/0225(COD),08/07/1998,1998,23/10/2001,2001,39,3,1707,0,10
53,1998/0228(COD),14/08/1998,1998,29/06/2000,2000,22,3,7782,0,10
54,1998/0238(COD),13/07/1998,1998,10/04/2000,2000,21,2,1421,0,10
55,1998/0240(COD),27/07/1998,1998,16/12/1999,1999,17,2,2995,0,10
56,1998/0242(COD),17/07/1998,1998,21/01/2002,2002,42,2,7973,0,8
57,1998/0243(COD),17/07/1998,1998,21/01/2002,2002,42,2,3990,0,8
58,1998/0245(COD),19/11/1998,1998,23/09/2002,2002,46,2,4453,0,24
59,1998/0247(COD),03/09/1998,1998,22/05/2000,2000,20,2,1865,0,10
60,1998/0249(COD),17/07/1998,1998,27/11/2000,2000,28,3,3739,0,13
61,1998/0252(COD),21/09/1998,1998,18/09/2000,2000,24,2,2896,0,8
62,1998/0253(COD),21/09/1998,1998,18/09/2000,2000,24,2,478,0,8
63,1998/0265(COD),29/09/1998,1998,26/02/2001,2001,29,3,1082,0,13
64,1998/0266(COD),29/09/1998,1998,26/02/2001,2001,29,3,887,0,13
65,1998/0267(COD),31/03/1998,1998,26/02/2001,2001,35,3,8886,0,13
66,1998/0272(COD),03/09/1998,1998,13/12/1999,1999,15,2,2062,0,10
67,1998/0277(COD),28/09/1998,1998,27/09/2001,2001,36,2,1137,0,24
68,1998/0289(COD),29/10/1998,1998,04/12/2000,2000,25,3,5918,0,10
69,1998/0296(COD),11/11/1998,1998,22/05/2000,2000,18,2,1782,0,15
70,1998/0300(COD),21/10/1998,1998,22/01/2001,2001,27,2,2082,0,25
71,1998/0301(COD),03/11/1998,1998,14/12/2000,2000,25,3,1978,0,10
72,1998/0303(COD),30/10/1998,1998,19/03/2001,2001,29,3,4389,0,10
73,1998/0314(COD),11/11/1998,1998,17/12/1999,1999,13,2,1415,0,18
74,1998/0315(COD),11/11/1998,1998,11/03/2002,2002,40,3,2913,0,9
75,1998/0318(COD),24/11/1998,1998,22/06/2000,2000,19,3,1497,0,9
76,1998/0319(COD),24/11/1998,1998,11/03/2002,2002,40,3,3038,0,9
77,1998/0321(COD),24/11/1998,1998,13/12/1999,1999,13,2,2106,0,9
78,1998/0323(COD),07/01/1999,1999,22/05/2001,2001,28,2,5673,0,10
79,1998/0324(COD),07/01/1999,1999,22/05/2001,2001,28,1,583,0,15
80,1998/0325(COD),18/11/1998,1998,08/06/2000,2000,19,2,6484,0,24
81,1998/0327(COD),27/11/1998,1998,27/06/2001,2001,31,2,584,0,9
82,1998/0333(COD),01/12/1998,1998,16/11/2000,2000,23,2,2047,0,10
83,1998/0336(COD),09/12/1998,1998,17/07/2000,2000,19,3,4137,0,10
84,1998/0350(COD),16/12/1998,1998,20/12/2000,2000,24,3,1368,0,10
85,1998/0358(COD),16/12/1998,1998,04/04/2001,2001,28,3,4476,0,10
86,1998/0360(COD),21/12/1998,1998,30/04/2004,2004,64,2,14388,0,9
87,1999/0007(COD),10/02/1999,1999,26/06/2000,2000,16,2,1317,0,24
88,1999/0010(COD),27/01/1999,1999,25/11/2002,2002,46,2,1509,0,10
89,1999/0014(COD),04/02/1999,1999,22/12/1999,1999,10,1,782,0,11
90,1999/0015(COD),03/02/1999,1999,07/11/2000,2000,21,3,2784,0,4
91,1999/0020(COD),28/01/1999,1999,07/11/2000,2000,21,3,2446,0,4
92,1999/0022(COD),27/01/1999,1999,18/12/2000,2000,23,2,1031,0,13
93,1999/0051(COD),05/03/1999,1999,23/11/1999,1999,8,1,317,0,15
94,1999/0067(COD),09/06/1999,1999,23/10/2001,2001,28,3,2833,0,10
95,1999/0068(COD),09/06/1999,1999,12/02/2002,2002,32,3,4045,0,10
96,1999/0070(COD),12/03/1999,1999,29/06/2000,2000,15,2,4298,0,4
97,1999/0083(COD),17/05/1999,1999,10/10/2000,2000,17,2,2845,0,13
98,1999/0085(COD),08/04/1999,1999,30/04/2004,2004,60,1,5923,0,24
99,1999/0087(COD),17/05/1999,1999,10/10/2000,2000,17,2,1727,0,13
100,1999/0090(COD),14/04/1999,1999,20/03/2000,2000,11,1,,0,24
101,1999/0117(COD),25/06/1999,1999,18/03/2002,2002,33,2,3377,0,24
102,1999/0127(COD),16/06/1999,1999,18/09/2000,2000,15,2,7127,0,11
103,1999/0134(COD),28/06/1999,1999,06/11/2001,2001,28,1,25000,0,24
104,1999/0137(COD),08/07/1999,1999,28/09/2000,2000,14,2,994,0,15
