id,cod,start,yearstart,fin,yearfin,dur_months,words,ctte
1,1985/0046(COD),19/12/1985,1985,04/04/2001,2001,184,10824,8
2,1986/0080(COD),23/12/1986,1986,19/03/2001,2001,171,,8
3,1992/0449(COD),23/12/1992,1992,25/06/2002,2002,114,12964,9
4,1992/0449A(COD),23/12/1992,1992,06/02/2003,2003,121,12964,9
5,1992/0449B(COD),23/12/1992,1992,05/04/2006,2006,159,12964,9
6,1992/0449C(COD),23/12/1992,1992,29/04/2004,2004,136,12964,9
7,1993/0465(COD),27/07/1993,1993,16/02/1998,1998,55,11201,10
8,1994/0009(COD),19/01/1994,1994,05/06/1996,1996,29,1460,11
9,1994/0011(COD),31/01/1994,1994,20/03/2000,2000,74,7790,18
10,1994/0098(COD),07/04/1994,1994,23/07/1996,1996,27,13414,13
11,1995/0013B(COD),19/04/1995,1995,16/11/2000,2000,67,6618,11
12,1995/0232(COD),14/09/1995,1995,27/02/2003,2003,89,1586,13
13,1995/0235(COD),18/09/1995,1995,16/12/1999,1999,51,3006,9
14,1996/0085(COD),13/03/1996,1996,27/09/2001,2001,66,2349,24
15,1996/0112(COD),17/04/1996,1996,23/06/2000,2000,50,1661,10
16,1996/0130(COD),13/05/1996,1996,13/12/1999,1999,43,294,17
17,1996/0131(COD),13/05/1996,1996,13/12/1999,1999,43,301,17
18,1996/0304(COD),04/12/1996,1996,27/06/2001,2001,54,2504,10
19,1996/0312(COD),11/12/1996,1996,17/07/2000,2000,43,3344,10
20,1997/0067(COD),26/02/1997,1997,23/10/2000,2000,44,8631,10
21,1997/0162(COD),06/06/1997,1997,10/07/2000,2000,37,694,24
22,1997/0176(COD),17/10/1997,1997,10/11/2001,2001,49,1662,18
23,1997/0194(COD),09/07/1997,1997,18/09/2000,2000,38,3278,10
24,1997/0197(COD),03/09/1997,1997,04/04/2001,2001,43,3861,10
25,1997/0264(COD),10/10/1997,1997,16/05/2000,2000,31,3166,24
26,1997/0335(COD),08/12/1997,1997,12/12/2006,2006,108,2095,13
27,1997/0345(COD),02/12/1997,1997,14/05/2001,2001,41,3991,24
28,1997/0348(COD),10/12/1997,1997,27/06/2001,2001,42,1353,10
29,1997/0350(COD),03/12/1997,1997,13/12/1999,1999,24,2429,10
30,1997/0357(COD),15/12/1997,1997,20/03/2000,2000,27,,24
31,1997/0358(COD),10/12/1997,1997,22/05/2001,2001,41,1101,13
32,1997/0359(COD),10/12/1997,1997,22/05/2001,2001,41,5144,24
33,1997/0370(COD),18/11/1997,1997,28/02/2000,2000,27,10607,11
34,1997/0371(COD),18/11/1997,1997,28/02/2000,2000,27,10607,11
35,1998/0029(COD),18/02/1998,1998,08/05/2000,2000,27,4731,10
36,1998/0052(COD),18/02/1998,1998,10/04/2000,2000,26,471,10
37,1998/0071(COD),23/04/1998,1998,20/03/2000,2000,23,1212,24
38,1998/0072(COD),23/02/1998,1998,12/03/2001,2001,37,6056,10
39,1998/0089(COD),02/04/1998,1998,28/02/2000,2000,22,1252,24
40,1998/0097(COD),11/03/1998,1998,06/06/2000,2000,27,1684,13
41,1998/0099(COD),25/03/1998,1998,29/06/2000,2000,27,2459,11
42,1998/0101(COD),18/03/1998,1998,19/07/1999,1999,16,2242,6
43,1998/0106(COD),19/03/1998,1998,17/04/2000,2000,25,1757,13
44,1998/0134(COD),03/06/1998,1998,16/11/2000,2000,29,2525,18
45,1998/0163(COD),20/05/1998,1998,20/03/2000,2000,22,1059,18
46,1998/0169(COD),06/05/1998,1998,14/02/2000,2000,21,1868,17
47,1998/0191(COD),13/05/1998,1998,13/12/1999,1999,19,3254,18
48,1998/0192(COD),20/05/1998,1998,24/01/2000,2000,20,1434,21
49,1998/0195(COD),27/05/1998,1998,24/01/2000,2000,20,3230,17
50,1998/0197(COD),28/08/1998,1998,13/04/2000,2000,20,3258,17
51,1998/0202(COD),12/06/1998,1998,22/06/2000,2000,24,1707,10
52,1998/0225(COD),08/07/1998,1998,23/10/2001,2001,39,1707,10
53,1998/0228(COD),14/08/1998,1998,29/06/2000,2000,22,7782,10
54,1998/0238(COD),13/07/1998,1998,10/04/2000,2000,21,1421,10
55,1998/0240(COD),27/07/1998,1998,16/12/1999,1999,17,2995,10
56,1998/0242(COD),17/07/1998,1998,21/01/2002,2002,42,7973,8
57,1998/0243(COD),17/07/1998,1998,21/01/2002,2002,42,3990,8
58,1998/0245(COD),19/11/1998,1998,23/09/2002,2002,46,4453,24
59,1998/0247(COD),03/09/1998,1998,22/05/2000,2000,20,1865,10
60,1998/0249(COD),17/07/1998,1998,27/11/2000,2000,28,3739,13
61,1998/0252(COD),21/09/1998,1998,18/09/2000,2000,24,2896,8
62,1998/0253(COD),21/09/1998,1998,18/09/2000,2000,24,478,8
63,1998/0265(COD),29/09/1998,1998,26/02/2001,2001,29,1082,13
64,1998/0266(COD),29/09/1998,1998,26/02/2001,2001,29,887,13
65,1998/0267(COD),31/03/1998,1998,26/02/2001,2001,35,8886,13
66,1998/0272(COD),03/09/1998,1998,13/12/1999,1999,15,2062,10
67,1998/0277(COD),28/09/1998,1998,27/09/2001,2001,36,1137,24
68,1998/0289(COD),29/10/1998,1998,04/12/2000,2000,25,5918,10
69,1998/0296(COD),11/11/1998,1998,22/05/2000,2000,18,1782,15
70,1998/0300(COD),21/10/1998,1998,22/01/2001,2001,27,2082,25
71,1998/0301(COD),03/11/1998,1998,14/12/2000,2000,25,1978,10
72,1998/0303(COD),30/10/1998,1998,19/03/2001,2001,29,4389,10
73,1998/0314(COD),11/11/1998,1998,17/12/1999,1999,13,1415,18
