isnrnmc,cod,directive,ctte_op,recitals
1,2000/0032(COD),0,6,13
2,2000/0032(COD),0,6,13
3,2000/0032(COD),0,6,13
4,2000/0032(COD),0,6,13
5,2000/0060(COD),1,2,7
6,2000/0060(COD),1,2,7
7,2000/0062(COD),0,2,16
8,2000/0062(COD),0,2,16
9,2000/0062(COD),0,2,16
10,2000/0067(COD),0,3,16
11,2000/0067(COD),0,3,16
12,2000/0184(COD),1,4,32
13,2000/0184(COD),1,4,32
14,2000/0184(COD),1,4,32
19,1996/0085(COD),1,0,25
20,1996/0085(COD),1,0,25
21,1996/0085(COD),1,0,25
22,1996/0085(COD),1,0,25
23,1996/0112(COD),1,3,11
24,1996/0112(COD),1,3,11
25,1996/0112(COD),1,3,11
26,1996/0112(COD),1,3,11
29,1997/0264(COD),1,1,12
30,1997/0359(COD),1,2,38
31,1997/0359(COD),1,2,38
32,1997/0359(COD),1,2,38
33,1998/0134(COD),0,2,14
34,1998/0134(COD),0,2,14
35,1998/0134(COD),0,2,14
36,1998/0134(COD),0,2,14
37,1998/0191(COD),1,2,15
38,1998/0191(COD),1,2,15
39,1998/0191(COD),1,2,15
40,1998/0195(COD),3,1,14
41,1998/0195(COD),3,1,14
42,1998/0195(COD),3,1,14
43,1998/0240(COD),0,3,11
44,1998/0252(COD),1,1,12
45,1998/0252(COD),1,1,12
46,1998/0300(COD),0,3,9
47,1998/0300(COD),0,3,9
48,1998/0300(COD),0,3,9
49,1998/0323(COD),0,1,5
50,1998/0323(COD),0,1,5
51,1998/0323(COD),0,1,5
52,1998/0325(COD),1,2,25
53,1998/0325(COD),1,2,25
54,1998/0325(COD),1,2,25
55,1999/0083(COD),1,1,9
56,1999/0127(COD),1,1,19
57,1999/0127(COD),1,1,19
58,1999/0158(COD),1,1,6
59,1999/0204(COD),0,2,33
60,1999/0204(COD),0,2,33
61,1999/0204(COD),0,2,33
62,1999/0204(COD),0,2,33
63,1999/0217(COD),1,1,7
64,1999/0238(COD),0,1,9
65,1999/0238(COD),0,1,9
66,1999/0238(COD),0,1,9
67,1999/0244(COD),0,3,28
68,1999/0244(COD),0,3,28
69,1999/0244(COD),0,3,28
70,1999/0244(COD),0,3,28
71,1999/0244(COD),0,3,28
72,1999/0252(COD),1,3,31
73,1999/0252(COD),1,3,31
74,1999/0252(COD),1,3,31
75,1999/0275(COD),3,4,0
174,2004/0167(COD),0,9,14
175,2004/0167(COD),0,9,14
176,2004/0167(COD),0,9,14
177,2004/0167(COD),0,9,14
181,2004/0218(COD),0,3,12
182,2004/0218(COD),0,3,12
183,2004/0218(COD),0,3,12
184,2004/0219(COD),0,10,19
185,2004/0219(COD),0,10,19
186,2004/0219(COD),0,10,19
188,2005/0007(COD),0,1,12
189,2005/0028(COD),0,2,13
190,2005/0028(COD),0,2,13
193,2005/0182(COD),1,2,19
194,2005/0182(COD),1,2,19
195,2005/0182(COD),1,2,19
196,2005/0182(COD),1,2,19
197,2005/0182(COD),1,2,19
198,2005/0183(COD),1,2,29
199,2005/0183(COD),1,2,29
200,2005/0214(COD),1,3,16
201,2005/0214(COD),1,3,16
202,2005/0214(COD),1,3,16
203,2005/0214(COD),1,3,16
204,2005/0245(COD),1,2,42
205,2005/0245(COD),1,2,42
206,2005/0245(COD),1,2,42
207,2005/0245(COD),1,2,42
208,2005/0260(COD),1,5,47
209,2005/0260(COD),1,5,47
210,2005/0260(COD),1,5,47
211,2005/0260(COD),1,5,47
212,2005/0260(COD),1,5,47
213,2005/0281(COD),1,1,22
214,2005/0281(COD),1,1,22
215,2005/0281(COD),1,1,22
216,2005/0281(COD),1,1,22
241,2006/0132(COD),1,2,19
242,2006/0132(COD),1,2,19
243,2006/0196(COD),1,5,39
244,2006/0196(COD),1,5,39
247,2007/0035(COD),1,1,5
258,2005/0167(COD),1,3,24
259,2005/0167(COD),1,3,24
260,2005/0167(COD),1,3,24
261,2005/0167(COD),1,3,24
262,2005/0183(COD),1,2,29
263,2005/0183(COD),1,2,29
264,2005/0183(COD),1,2,29
265,2006/0129(COD),1,3,22
266,2006/0129(COD),1,3,22
267,2006/0129(COD),1,3,22
268,2006/0129(COD),1,3,22
269,2006/0140(COD),0,1,17
270,2006/0272(COD),1,1,10
271,2006/0304(COD),1,4,23
272,2006/0304(COD),1,4,23
273,2006/0304(COD),1,4,23
274,2006/0304(COD),1,4,23
275,2007/0013(COD),1,4,13
276,2007/0013(COD),1,4,13
277,2007/0013(COD),1,4,13
278,2007/0013(COD),1,4,13
279,2007/0013(COD),1,4,13
280,2007/0297(COD),0,3,28
281,2007/0297(COD),0,3,28
282,2007/0297(COD),0,3,28
283,2007/0297(COD),0,3,28
284,2007/0297(COD),0,3,28
285,2006/0031(COD),1,1,10
286,2006/0031(COD),1,1,10
287,2004/0287(COD),0,0,28
288,2004/0287(COD),0,0,28
289,2004/0287(COD),0,0,28
290,2004/0287(COD),0,0,28
291,2004/0287(COD),0,0,28
292,2005/0246(COD),0,5,39
293,2005/0246(COD),0,5,39
294,2005/0246(COD),0,5,39
295,2005/0246(COD),0,5,39
296,2005/0246(COD),0,5,39
297,2005/0246(COD),0,5,39
302,2004/0156(COD),0,3,16
303,2004/0156(COD),0,3,16
304,2004/0156(COD),0,3,16
305,2006/0273(COD),1,1,77
306,2006/0130(COD),0,3,18
307,2006/0130(COD),0,3,18
308,2006/0130(COD),0,3,18
309,2006/0130(COD),0,3,18
310,2006/0206(COD),0,2,13
311,2006/0206(COD),0,2,13
312,2006/0206(COD),0,2,13
313,2006/0206(COD),0,2,13
324,2007/0249(COD),0,7,49
325,2007/0291(COD),0,1,6
326,2007/0028(COD),0,4,27
327,2007/0028(COD),0,4,27
328,2007/0028(COD),0,4,27
329,2007/0028(COD),0,4,27
330,2005/0211(COD),1,2,31
331,2005/0211(COD),1,2,31
